model,num_nodes,num_processes,num_gpus,num_prompts,prompt_len,model_parallelism,data_parallelism,quantization,machine,inference_time,request_id,timestamp
falcon-7b,1,1,1,1,117,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,0.20553016662597656,ebd0f9b4-a5a4-4c24-b803-3f6983840a00,2023-09-28 03:58:04
falcon-7b,1,1,1,1,302,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,4.700628757476807,769b81ea-099e-4ad2-abbf-86ac954a0dba,2023-09-28 03:58:09
falcon-7b,1,1,1,1,77,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,3.4629695415496826,d6b73b0f-c672-4da8-b9da-6b29465377c6,2023-09-28 03:58:12
falcon-7b,1,1,1,1,92,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.8051681518554688,8cc600b6-b9ee-4b0b-acff-1455c903e757,2023-09-28 03:58:14
falcon-7b,1,1,1,1,93,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,2.4778146743774414,b9780120-2615-4baf-9b69-af919f265bd9,2023-09-28 03:58:17
falcon-7b,1,1,1,1,55,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,0.8018198013305664,2d8e59a0-7aa0-4c5e-b4af-b6c54c0c6c4d,2023-09-28 03:58:18
falcon-7b,1,1,1,1,68,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,0.9150872230529785,340df706-fc25-41f2-aeb9-3dfc357c874b,2023-09-28 03:58:18
falcon-7b,1,1,1,1,137,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,5.590264081954956,ed2b658c-e629-40df-a2fa-413a396b413c,2023-09-28 03:58:24
falcon-7b,1,1,1,1,102,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,5.752641439437866,3eaf2fc2-8542-42c4-a898-8b8785e12544,2023-09-28 03:58:30
falcon-7b,1,1,1,1,72,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,0.853870153427124,5f1e5de8-d976-4bfb-bc02-4076fef075a4,2023-09-28 03:58:31
falcon-7b,1,1,1,1,53,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.4669642448425293,446e510a-da2a-43a4-9021-08e0dc4d024c,2023-09-28 03:58:32
falcon-7b,1,1,1,1,60,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.061218023300171,fff33b75-9d78-4c9e-a4b9-717134ac1b57,2023-09-28 03:58:33
falcon-7b,1,1,1,1,68,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,2.436325788497925,eb15509a-cb74-4ecd-ba5f-deb008eb857a,2023-09-28 03:58:36
falcon-7b,1,1,1,1,94,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,2.0565240383148193,4322b056-a045-4cc8-be16-e8fec2620de5,2023-09-28 03:58:38
falcon-7b,1,1,1,1,78,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,1.1446382999420166,ee5ec411-a70b-4e38-9510-c0032c450f2b,2023-09-28 03:58:39
falcon-7b,1,1,1,1,106,accelerate-naive-mp,none,bf16,Standard_NC48ads_A100_v4,5.825480937957764,91cd3da8-bb56-4a03-b75d-addcc23aef38,2023-09-28 03:58:45
